Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.2152343321527774,0.3326387373569226,0.2570337494867742,0.19509318100352582
1,0.20013265642701264,0.23761989672758363,0.388843025252574,0.17340442159282976
2,0.22546931540452164,0.29314898379318893,0.33795902075001955,0.14342268005227
3,0.23536768248300508,0.27692383042888924,0.40616996492313795,0.08153852216496776
4,0.16245493682496315,0.4006132834507262,0.26680362399661495,0.17012815572769568
5,0.18099089317820422,0.23532052371386308,0.426110603878451,0.15757797922948164
6,0.21733516465617697,0.293313838019256,0.3428311788667704,0.1465198184577967
7,0.1620224811051516,0.23084296839518048,0.45924464709491836,0.1478899034047496
8,0.10400930132971091,0.1197028805578313,0.688946584521654,0.08734123359080385
9,0.13374723317657466,0.25211449157416355,0.4292478286900227,0.18489044655923895
10,0.08226676657014033,0.19318040287656846,0.4719475651887583,0.2526052653645329
11,0.15255852777958898,0.23979139999480026,0.4617930600155863,0.14585701221002453
12,0.2667352727987903,0.24677098719620807,0.45267558652992346,0.03381815347507811
13,0.14517372035192097,0.2524743927872924,0.4080495449183508,0.19430234194243579
14,0.3411857630157378,0.44613057402783,0.1939539997940681,0.01872966316236403
15,0.1714068963001929,0.2478461936703248,0.4825579644172466,0.09818894561223575
16,0.2507232948261704,0.30411965680009106,0.422692163309125,0.022464885064613502
17,0.15441839558784445,0.2098750375737986,0.4910101272505611,0.14469643958779574
18,0.14106779436440986,0.19815317269556337,0.6199260302632535,0.040853002676773296
19,0.16130909488233044,0.2565585929799907,0.4520376754108576,0.13009463672682137
20,0.16802155266443483,0.3295837716478228,0.36976013851446043,0.13263453717328183
21,0.16434243601226325,0.25285843469379427,0.4866680550535479,0.09613107424039458
22,0.1719401654709431,0.5033905490459373,0.24649467659146854,0.0781746088916512
23,0.14193610024690137,0.21271108514076817,0.5048780484682874,0.14047476614404297
24,0.13391998822587953,0.5020572316343372,0.14175728163385967,0.2222654985059236
25,0.18997452444255095,0.24143618242831566,0.44767810978428535,0.120911183344848
26,0.30449612542803906,0.46010678924349874,0.2023518223005097,0.03304526302795252
27,0.17670857627583217,0.23747328262392894,0.40709671196360675,0.17872142913663222
28,0.340520108472661,0.39653683831952535,0.21861055334880292,0.04433249985901059
29,0.20247416452634617,0.22073414755018628,0.4785089464027953,0.09828274152067226
30,0.17106944413546124,0.2017473466130325,0.5263025929025286,0.10088061634897773
31,0.1594878615508105,0.2960415236279515,0.38888855552109375,0.1555820593001442
32,0.06433174660859163,0.060819703643598566,0.828200668485729,0.04664788126208081
33,0.15350652131286086,0.2697355580679251,0.43941478535288364,0.13734313526633046
34,0.08963733887987366,0.07868549114535674,0.7839825863764553,0.04769458359831423
